id,price,date,postcode,type,old_new,duration,paon,saon,street,locality,city,district,county,category,status
{49B7852A-935F-7921-E050-A8C063056E8D},80000,2016-09-09 00:00,NE28 0LH,F,N,L,6,,EDWIN GROVE,,WALLSEND,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-937E-7921-E050-A8C063056E8D},83500,2016-12-21 00:00,NE28 9TP,T,N,F,22,,BISHOPDALE,,WALLSEND,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-9397-7921-E050-A8C063056E8D},110000,2016-11-30 00:00,NE29 6XL,S,N,F,8,,CHIRTON DENE WAY,,NORTH SHIELDS,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-93AA-7921-E050-A8C063056E8D},155000,2016-11-30 00:00,NE25 8XH,S,N,F,3,,BAYTREE GARDENS,,WHITLEY BAY,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-9745-7921-E050-A8C063056E8D},189995,2016-09-23 00:00,NE28 9PB,D,Y,L,22,,THE RISINGS,,WALLSEND,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-974B-7921-E050-A8C063056E8D},104000,2016-12-22 00:00,NE29 0DF,T,N,F,15,,NEWCASTLE STREET,,NORTH SHIELDS,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-974E-7921-E050-A8C063056E8D},465000,2016-12-08 00:00,NE30 4RF,T,N,F,7,,HUNTINGDON PLACE,,NORTH SHIELDS,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-975D-7921-E050-A8C063056E8D},160000,2016-12-19 00:00,NE29 9BT,S,N,F,28,,HAZEL AVENUE,,NORTH SHIELDS,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-975E-7921-E050-A8C063056E8D},117000,2016-12-21 00:00,NE30 3AS,T,N,F,30,,BUTTERMERE ROAD,,NORTH SHIELDS,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-976C-7921-E050-A8C063056E8D},120000,2016-12-15 00:00,NE25 9JD,D,N,F,7A,,WHITLEY ROAD,WELLFIELD,WHITLEY BAY,NORTH TYNESIDE,TYNE AND WEAR,B,A
{49B7852A-9772-7921-E050-A8C063056E8D},420000,2016-12-21 00:00,NE26 1TQ,D,N,F,39,,THE LINKS,,WHITLEY BAY,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-93ED-7921-E050-A8C063056E8D},109950,2016-12-09 00:00,NE30 4PA,F,N,L,BEDE COURT,23,MARDEN AVENUE,,NORTH SHIELDS,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-940E-7921-E050-A8C063056E8D},84000,2016-08-24 00:00,NE29 6YW,F,N,L,4,,CHIRTON DENE QUAYS,,NORTH SHIELDS,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-941B-7921-E050-A8C063056E8D},225000,2016-12-22 00:00,NE27 0UT,D,N,F,27,,CARLISLE CLOSE,HOLYSTONE,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-94E5-7921-E050-A8C063056E8D},103000,2016-12-22 00:00,NE28 8QH,F,N,L,53,,WINDERMERE CLOSE,,WALLSEND,NORTH TYNESIDE,TYNE AND WEAR,A,A
{49B7852A-950E-7921-E050-A8C063056E8D},173500,2016-11-25 00:00,NE27 0BE,T,N,L,79,,CLOVERFIELD,WEST ALLOTMENT,NEWCASTLE UPON TYNE,NORTH TYNESIDE,TYNE AND WEAR,A,A
